"cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","cuisines/11","cuisines/12","cuisines/13","cuisines/14","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/0/2/close","hours/weekRanges/0/2/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/1/2/close","hours/weekRanges/1/2/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/2/2/close","hours/weekRanges/2/2/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/3/2/close","hours/weekRanges/3/2/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/4/2/close","hours/weekRanges/4/2/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/5/2/close","hours/weekRanges/5/2/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","hours/weekRanges/6/2/close","hours/weekRanges/6/2/open","website","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","establishmentTypes/0","establishmentTypes/1","establishmentTypes/2","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","dishes/19","dishes/20","dishes/21","dishes/22","subcategories/0","category","rankingDenominator","rankingPosition","name","priceRange","address","webUrl","latitude","longitude","neighborhoodLocations/0/id","neighborhoodLocations/0/name","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","phone","type","email","rating","menuWebUrl","localName","description","locationString","localAddress","rankingString","image","photoCount","openNowText","rawRanking","priceLevel","numberOfReviews","isClosed","isLongClosed","id"
"Steakhouse","International","Grill","Mediterranean","Vegetarian Friendly",,,,,,,,,,,,"Africa/Nairobi",,,,,,,"900","720","1380","1110",,,"900","720","1380","1110",,,"900","720","1380","1110",,,"900","720","1380","1110",,,"900","720","1380","1110",,,"1380","1110",,,,,"http://chophouse.ke/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya","00100",,"Elgon Road","Upper Hill","Reservations","Seating","Free off-street parking","Wheelchair Accessible","Serves Alcohol","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Private Dining",,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crab","Scallops","Beef","Duck","Lamb",,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","24","Chophouse Nairobi","KES 2,965 - KES 14,824","Elgon Road Upper Hill, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d11814079-Reviews-Chophouse_Nairobi-Nairobi.html","-1.302338","36.81675",,,"3","5","10","21","128","+254 709810000","RESTAURANT","chophouse@radissonblunairobi.com","4.5","https://qr1.be/MFIN","","The Chophouse Restaurant presents an inventive culinary experience that weaves together a fusion of Kenyan, Asian and Mediterranean Haute Cuisine. Our new menu masterfully elevates beloved grilled meat dishes to a level that is unmatched on the Continent, with in-house aging of meats up to 72 days. Each dish is designed with a poetic flair that pays homage to the elegance of Haute Cuisine, drawing from techniques of esteemed chefs from around the world. We are delighted to offer this bold new dining experience right here in Nairobi.","Nairobi",,"#24 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0e/cc/3e/9b/the-chop-house.jpg","141","Open Now","4.439311981201172","$$ - $$$","167","false","false","11814079"
"Italian","Indian","Bar","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"Africa/Nairobi","1320","480",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","480",,,,,"http://www.urbaneatery.co.ke/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Nairobi","Kenya",,,"Delta Towers","Ground Floor, PwC Towers, Delta Corner Estate","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Validated Parking","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Table Service",,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Noodle","Pasta","Frozen Yogurt","Burger","Salad","Waffles","Curry","Salmon","Prawns","Beef","Lamb","Pesto","Fish",,,,,,,,,,,"Café","restaurant","832","30","Urban Eatery",,"Delta Towers Ground Floor, PwC Towers, Delta Corner Estate, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d7724689-Reviews-Urban_Eatery-Nairobi.html","-1.265588","36.802265",,,"19","22","61","165","244","+254 790 999149","RESTAURANT","info@urbaneatery.co.ke","4","http://www.urbaneatery.co.ke/menus-","",,"Nairobi",,"#30 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/29/a6/95/4d/ambience-at-ue.jpg","248","Open Now","4.350788593292236","$$ - $$$","511","false","false","7724689"
"Bar","Pub",,,,,,,,,,,,,,,"Africa/Nairobi","1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"http://www.radissonhotels.com/en-us/hotels/radisson-blu-nairobi-upper-hill",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Late Night","Drinks",,,"Lunch","Dinner","Late Night","Drinks",,,"Nairobi","Kenya",,,"Radisson Blu Hotel, Nairobi Upper Hill","Elgon Road","Outdoor Seating","Seating","Parking Available","Accepts Credit Cards",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bars & Pubs","Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","20","Humidor Bar & Lounge",,"Radisson Blu Hotel, Nairobi Upper Hill Elgon Road, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d24091389-Reviews-Humidor_Bar_Lounge-Nairobi.html","-1.30228","36.816746",,,"0","0","0","1","60","+254 709 810000","RESTAURANT","info.nairobi@radissonblu.com","5","https://qr1.be/KE8D","","Sophisticated lobby bar and cigar lounge at Radisson Blu Hotel, Nairobi Upper Hill that looks out over Nairobi. Our mixologists will whip up a drink of your choice from our wide selection of premium wines, whiskies, vodkas and rum.","Nairobi",,"#20 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-w/24/ca/90/03/bar-island.jpg","28","Open Now","4.546398162841797",,"61","false","false","24091389"
"Italian","Latin","Healthy",,,,,,,,,,,,,,"Africa/Nairobi","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"http://www.thefoodlibrary.co.ke/bambino",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Drinks",,,,"Lunch","Dinner","Drinks",,,,"Nairobi","Kenya","00200",,"9 West Building","Ground Floor, Ring Road Parklands","Delivery","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Highchairs Available","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Family style","Gift Cards Available",,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pasta","Calamari","Lamb chops","Pesto",,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","16","Bambino Latin Italian Kitchen","KES 177,883 - KES 415,061","9 West Building Ground Floor, Ring Road Parklands, Nairobi 00200 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d23794120-Reviews-Bambino_Latin_Italian_Kitchen-Nairobi.html","-1.261644","36.803955",,,"4","5","7","31","288","+254 712 524517","RESTAURANT","bambino@thefoodlibrary.co.ke","5","https://www.thefoodlibrary.co.ke/bambino/","","Bambino offers best of Latin-Italian dining at its finest. Our Cuisine offers a variety of freshly made specialty foods in a casual atmosphere that includes a beautiful decor. We love to create foods that are as inventive as they are authentic. We specialize in combining fresh ingredients in flavorful ways, always looking out for optimum taste and freshness.","Nairobi",,"#16 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/28/8f/9b/9a/burrata-tomato-mozzarella.jpg","111","Open Now","4.727697849273682","$$ - $$$","334","false","false","23794120"
"International","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,"Africa/Nairobi","1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"https://www.radissonhotels.com/en-us/hotels/radisson-blu-nairobi-upper-hill/restaurant-bar",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Brunch","Dinner",,,"Breakfast","Lunch","Brunch","Dinner",,,"Nairobi","Kenya","00100",,"Elgon Road","Radisson Blu Hotel, Nairobi Upper Hill","Reservations","Buffet","Seating","Free off-street parking","Wheelchair Accessible","Serves Alcohol","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Table Service","Takeout","Outdoor Seating","Highchairs Available",,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamb",,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","18","The Larder","KES 1,482 - KES 10,377","Elgon Road Radisson Blu Hotel, Nairobi Upper Hill, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d11814084-Reviews-The_Larder-Nairobi.html","-1.302","36.81641",,,"1","1","5","31","112","+254 709 810000","RESTAURANT","info.nairobi@radissonblu.com","4.5","https://qr1.be/D69Q","","The Larder Restaurant & Terrace is an all day dining venue that offers international cuisine for breakfast, lunch, and dinner daily. Enjoy our live cooking station, terrace area and cozy ambience. Buffet available at breakfast, lunch and dinner, a la carte menu available from 6:00 AM to 11 PM.","Nairobi",,"#18 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0f/21/13/0c/larder.jpg","57","Open Now","4.6732683181762695","$$ - $$$","150","false","false","11814084"
"Mexican","Contemporary","Healthy","Street Food","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"Africa/Nairobi","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"http://mercado.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Drinks",,,,"Lunch","Dinner","Drinks",,,,"Nairobi","Kenya","00100",,"Ring Road Parklands","Terrace Floor, South Wing, Kenrail Towers, Westlands Area","Delivery","Takeout","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Free Wifi","Accepts Credit Cards","Table Service","Buffet","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Family style","Sports bars",,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burrito","Halloumi","Shrimp","Tacos","Fajitas","Nachos","Tres Leches","Pork",,,,,,,,,,,,,,,,"Sit down","restaurant","832","17","Mercado - Mexican Kitchen & Bar","KES 148,236 - KES 370,590","Ring Road Parklands Terrace Floor, South Wing, Kenrail Towers, Westlands Area, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d13008340-Reviews-Mercado_Mexican_Kitchen_Bar-Nairobi.html","-1.260985","36.803837",,,"13","13","17","95","597","+254 700 245795","RESTAURANT","info@mercado.co.ke","4.5","https://www.thefoodlibrary.co.ke/mercado/mercado-menu/","","Exquisitely presented and beautifully balanced, the menu at Mercado is fun, flavorful and simply fantastic. The rustic environment with wooden swing seating, bold colors and lit market baskets create the perfect atmosphere to entertain. The terrace overlooking the city is famous for its sundowners and happy hours with the award-winning cocktail menu.","Nairobi",,"#17 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/94/b8/99/swings-at-mercado.jpg","334","Open Now","4.72568416595459","$$ - $$$","729","false","false","13008340"
"Steakhouse","Brazilian","Barbecue","Gluten Free Options",,,,,,,,,,,,,"Africa/Nairobi","1350","720",,,,,"990","720","1350","1020",,,"1005","720","1350","1020",,,"1005","720","1350","1020",,,"1005","720","1350","1020",,,"1380","720",,,,,"1350","720",,,,,"http://www.fogogaucho.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Late Night","Drinks",,,"Lunch","Dinner","Late Night","Drinks",,,"Nairobi","Kenya","00100",,"Waiyaki Way","Viking Hse, Westlands","Takeout","Buffet","Seating","Parking Available","Street Parking","Free off-street parking","Television","Serves Alcohol","Accepts Mastercard","Accepts Visa","Free Wifi","Reservations","Validated Parking","Highchairs Available","Wheelchair Accessible","Full Bar","Accepts Credit Cards","Outdoor Seating","Live Music",,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ribs","Shrimp","Salad","Prawns","Beef","Lamb","Fish","Pork",,,,,,,,,,,,,,,,"Sit down","restaurant","832","19","Fogo Gaucho","KES 29,647 - KES 37,059","Waiyaki Way Viking Hse, Westlands, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1114238-Reviews-Fogo_Gaucho-Nairobi.html","-1.264153","36.801003",,,"13","14","104","449","752","+254 712 123456","RESTAURANT","westlands@fogogaucho.co.ke","4.5","https://www.fogogaucho.co.ke/index","","Fogo Gaucho is an authentic Brazilian Steakhouse that offers the most delectable selection of charcoal grilled meats (17 different cuts) that go along with a full buffet (over 20 salads) to choose from all for a set price per person, all you can eat (Rodizio). Our ambience is sure to give you the feeling that you are sitting in a Churrascaria (Steakhouse) right in the heart of Brazil as you enjoy a delicious meal for whatever occasion you are celebrating be it a birthday, anniversary, graduation, retirement, office party or just a special meal with your family and friends. Welcome to Fogo Gaucho Churrascaria.","Nairobi",,"#19 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0a/f2/32/ad/all-you-can-eat.jpg","285","Open Now","4.581748962402344","$$ - $$$","1332","false","false","1114238"
"Italian","French","American","Asian","Healthy","Indonesian",,,,,,,,,,,"Africa/Nairobi","1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"http://www.thefoodlibrary.co.ke/botanica-2/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Drinks",,,"Breakfast","Lunch","Dinner","Drinks",,,"Nairobi","Kenya","00621",,"Waiyaki Way","7th Floor One Africa Place","Delivery","Reservations","Seating","Parking Available","Valet Parking","Highchairs Available","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Discover","Accepts Credit Cards","Table Service","Live Music","Family style","Gift Cards Available",,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burger","Ribs","Calamari","Pork",,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","15","Botanica - Kitchen & Gin Bar","KES 177,883 - KES 415,061","Waiyaki Way 7th Floor One Africa Place, Nairobi 00621 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d23958932-Reviews-Botanica_Kitchen_Gin_Bar-Nairobi.html","-1.265251","36.801746",,,"2","4","3","25","256","+254 735 065865","RESTAURANT",,"5","https://www.thefoodlibrary.co.ke/botanica-2/","","Botanica Kitchen and Gin bar with 30 varieties of gin is one of the largest gin bar in Nairobi. Botanica comprises of a cosy indoor area, a lush green terrace and the trendiest gin bar and gin cocktails in town. Guests can dine in for breakfast, lunch or dinner from our curated menu that boasts several of the finest farm to table dishes.","Nairobi",,"#15 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/23/2a/06/c4/simply-roasted-prawns.jpg","147","Open Now","4.7304606437683105","$$ - $$$","290","false","false","23958932"
"Asian","Chinese","Japanese","Healthy",,,,,,,,,,,,,"Africa/Nairobi","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"http://www.thefoodlibrary.co.ke/meso/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Drinks",,,,"Lunch","Dinner","Drinks",,,,"Nairobi","Kenya",,,"Westgate Shopping Mall, Nairobi, Kenya",,"Delivery","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Highchairs Available","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Family style","Gift Cards Available",,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Noodle","Shrimp","Tempura","Ramen","Tacos","Gyoza","Sashimi","Pork",,,,,,,,,,,,,,,,"Sit down","restaurant","832","11","MeSo - Modern Asian Izakaya","KES 177,883 - KES 415,061","Westgate Shopping Mall, Nairobi, Kenya, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d23957695-Reviews-MeSo_Modern_Asian_Izakaya-Nairobi.html","-1.257227","36.803207",,,"3","4","5","11","241","+254 794176355","RESTAURANT","meso@thefoodlibrary.co.ke","5","https://www.thefoodlibrary.co.ke/meso/meso-menu/","","MeSo is a modern Asian Izakaya (i-zaka-ya) experience inspired by the journey of a hungry mind in a contemporary, luxury dining setting. Izakaya a combination of kanji (stay) (drink) (place) represents the rich sensory indulgence of our fresh ingredient dishes, in a fine-dining set up.

Conveniently located at Westgate Mall, second floor, MeSo is a culturally vibrant and enchanting culinary haven in the heart of Westlands Business District for your business lunch or a leisurely catch-up with loved ones and friends. .","Nairobi",,"#11 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/28/d8/46/b2/tamari-salmon-burnt-tomato.jpg","177","Open Now","4.791626930236816","$$ - $$$","264","false","false","23957695"
"Japanese","Sushi","Asian","Healthy","Japanese Fusion","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"Africa/Nairobi","1380","720",,,,,,,,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"http://eatapp.co/reserve/hero-restaurant-8ee625?source=facebook_integration&fbclid=IwAR1ym6zhAMDcgbv3kewowSINZxvKLo9Wi8zSPkC2Do9drU19l8iGdITZcSg",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya","00621",,"Limuru Road","Trademark Hotel, 9th Floor, Village Market","Reservations","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Wine and Beer","Non-smoking restaurants",,,,,,,,,,,,,,,,,,,,"Restaurants",,,,"Top 3 Reasons to Eat Here","Sponsored by: Hero Restaurant","Japanese Fusion","https://media-cdn.tripadvisor.com/media/photo-s/22/25/d0/98/prawn-grilled-avocado.jpg","false","sushi","Read review","1",,"5","814703635","W6189DMirenek","Definitely recommend the place for sushi lovers.","68th World's Best Bar","https://media-cdn.tripadvisor.com/media/photo-s/22/25/d0/91/boy-scout-ol-fashion.jpg","false","loki","Read review","2",,"5","719883071","DapperDanny","Hero is by far the BEST spot throughout Nairobi","Speakeasy","https://media-cdn.tripadvisor.com/media/photo-s/1a/2a/17/35/sushi-counter-and-graffiti.jpg","false","ambience","Read review","3",,"5","828627961","okwomio","great ambience definitely coming back again","Chili","Lamb chops","Salmon","Prawns","Lamb","Pork",,,,,,,,,,,,,,,,,,,"restaurant","832","12","Hero Restaurant",,"Limuru Road Trademark Hotel, 9th Floor, Village Market, Nairobi 00621 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d18961259-Reviews-Hero_Restaurant-Nairobi.html","-1.230641","36.804108","20484492","Highridge","4","5","7","19","336","+254 732 186666","RESTAURANT","bookings@hero-kenya.com","5","https://www.hero-kenya.com/","","WHAT DO SUPERHEROES EAT? WHAT DO SUPERHEROES DRINK? WHERE DO SUPERHEROES HANG OUT? A new kind of eatery at the intersection of design, fantasy, indulgence and individuality. Built as a speakeasy with a discrete entrance and prohibition-style bar; the concept invites you to be members of a secret space. Bridging fantasy and reality, the space and food celebrate heroes from comics and from our own community; the thought leaders, entrepreneurs, athletes, authors, do-gooders, champions of humanity and protectors of the environment. The small plates draw influence from the idea of the superhero, and their superpowers.","Nairobi",,"#12 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/2a/17/35/sushi-counter-and-graffiti.jpg","249","Open Now","4.781705856323242","$$$$","371","false","false","18961259"
"International","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,"Africa/Nairobi","1260","390",,,,,"1260","390",,,,,"1260","390",,,,,"1260","390",,,,,"1260","390",,,,,"1260","390",,,,,"1260","390",,,,,"http://www.harvestkenya.com",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Drinks",,,"Breakfast","Lunch","Dinner","Drinks",,,"Nairobi","Kenya","00621",,"Trademark Hotel, Limuru Road","The Village Market","Reservations","Outdoor Seating","Seating","Parking Available","Validated Parking","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Buffet","Wine and Beer","Digital Payments",,,,,,,,,,,,,,,,,"Restaurants",,,,"Top 3 Reasons to Eat Here","Sponsored by: Harvest Restaurant","Farm fresh ingredients","https://media-cdn.tripadvisor.com/media/photo-s/22/17/05/f8/grilled-salmon-steak.jpg","false","food was amazing","Read review","1",,"5","777681532","Shelmith1234","Food was amazing and service was excellent.","Great ambience","https://media-cdn.tripadvisor.com/media/photo-s/22/17/05/8c/mama-harvest-welcomes.jpg","false","ambience","Read review","2",,"5","825106952","610beatricen","the ambience is amazing and service is outstanding","Open grill Brasserie","https://media-cdn.tripadvisor.com/media/photo-s/22/17/05/ca/mixed-seafood-platter.jpg","false","open kitchen","Read review","3",,"5","715575925","Suitecaser","I recommend the grills","Pasta","Ribs","Salad","Wings","Lamb chops","Salmon","Beef","Lamb","Pesto","Fish","Pork",,,,,,,,,,,,,"Sit down","restaurant","832","9","Harvest Restaurant","KES 741 - KES 10,377","Trademark Hotel, Limuru Road The Village Market, Nairobi 00621 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d15213862-Reviews-Harvest_Restaurant-Nairobi.html","-1.230338","36.80443","20484492","Highridge","8","1","13","61","618","+254730886000","RESTAURANT","harvest@trademark-hotel.com","5","https://www.trademark-hotel.com/wp-content/uploads/2022/07/Harvest-Menu-June-2022.pdf","","Inspired by a Kenyan’s true love for meat, the open grill Brasserie focuses on farm fresh ingredients carefully paired together to take you on a true culinary journey. The restaurant also features a curated selection of wines from all around the world.","Nairobi",,"#9 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/22/17/05/8c/mama-harvest-welcomes.jpg","376","Closes in 1 min","4.798195838928223","$$ - $$$","701","false","false","15213862"
